order_id,product_id,add_to_cart_order,reordered
393,12078,1,1
393,6184,2,1
393,32403,3,1
393,19828,4,1
393,12341,5,0
393,16797,6,1
393,13424,7,1
393,30591,8,1
762,21137,1,1
762,41220,2,0
762,15872,3,0
762,30391,4,0
1145,24852,1,1
1145,1465,2,1
1145,28083,3,1
1145,29657,4,1
1145,34986,5,0
1145,33651,6,0
1145,33957,7,0
1145,16198,8,1
1145,47409,9,1
1145,24004,10,0
1145,22206,11,1
1145,29487,12,1
1145,31343,13,1
1145,22882,14,1
1145,4697,15,1
1145,21158,16,1
1145,5069,17,1
1145,46522,18,1
1145,12945,19,1
1145,8022,20,0
1145,19658,21,0
1145,11249,22,0
1145,35234,23,1
1145,10673,24,1
1145,37836,25,0
1145,16797,26,1
1145,13417,27,0
1145,47532,28,0
1145,33516,29,0
1145,8841,30,0
1350,12260,1,0
1350,25042,2,0
1350,38311,3,0
1350,18830,4,0
1350,1017,5,0
1350,37620,6,1
1350,38371,7,0
1350,16714,8,1
1350,30571,9,0
1350,23535,10,0
1350,23776,11,0
1579,35000,1,1
1579,25466,2,1
1579,47380,3,0
1579,42900,4,1
1579,11123,5,1
3243,24830,1,1
3243,31635,2,0
3243,33606,3,0
3243,24852,4,1
3243,31433,5,0
3861,10602,1,1
3861,16998,2,1
3861,26115,3,1
3861,45488,4,1
3861,21572,5,1
4790,28204,1,0
4790,16797,2,0
4790,10709,3,0
4790,11068,4,1
4790,13539,5,0
4790,17191,6,0
4790,11777,7,0
4790,16710,8,0
4790,45061,9,0
4790,20995,10,0
4790,28993,11,1
4790,8518,12,0
4790,44473,13,0
5696,14874,1,1
5696,20178,2,1
5696,26800,3,0
5846,24852,1,1
5846,3919,2,0
5846,33548,3,0
5846,44156,4,0
5846,20959,5,0
5846,30406,6,0
5846,4605,7,1
5846,16759,8,0
5846,28842,9,0
5846,26209,10,0
5846,44968,11,0
5846,14197,12,0
5846,11265,13,1
5846,20378,14,0
5846,5913,15,0
5846,14897,16,0
5846,33671,17,0
5846,20863,18,0
5846,5025,19,0
5846,4054,20,1
5846,34449,21,0
5846,35721,22,0
5846,46572,23,0
5846,4565,24,0
6485,7916,1,1
6485,5973,2,1
6485,48057,3,1
6485,12023,4,1
6485,273,5,1
6485,21903,6,0
6485,5451,7,0
6485,21783,8,0
6562,6104,1,0
6562,22935,2,1
6562,3765,3,1
6562,48628,4,0
6562,41787,5,0
6562,39275,6,0
6601,19660,1,1
6601,15322,2,1
6601,40910,3,1
6601,25949,4,1
6601,1511,5,1
6601,21626,6,1
6601,46676,7,1
6601,38889,8,1
6601,45204,9,1
6601,9210,10,1
6601,20127,11,1
6601,11046,12,0
6601,34969,13,1
7627,5450,1,1
7627,11520,2,1
7627,14702,3,1
7627,31717,4,1
7627,16262,5,1
7627,18095,6,1
7627,46663,7,1
7627,19613,8,1
7627,41950,9,1
7627,30391,10,1
7627,22852,11,1
7627,49235,12,1
7627,43136,13,0
7627,37307,14,0
7627,46667,15,1
7627,23517,16,0
7627,48775,17,0
9059,29223,1,1
9059,8571,2,1
9059,6758,3,0
9059,21137,4,0
9297,47766,1,1
9297,41220,2,1
9297,44359,3,1
9297,21903,4,1
9297,37687,5,1
9297,40377,6,1
9297,24489,7,1
9297,20034,8,1
9297,12000,9,1
9297,3583,10,1
9297,35140,11,1
9297,17948,12,1
9297,38067,13,1
9297,41950,14,1
9297,35750,15,1
9297,19886,16,1
9297,29071,17,1
9297,48682,18,1
9297,6230,19,1
9297,25659,20,1
9297,28985,21,1
9297,46667,22,1
9297,21841,23,1
9297,18465,24,1
9297,24933,25,1
9297,32548,26,1
9297,3145,27,1
9297,15261,28,1
9297,47547,29,1
9421,25885,1,1
9421,42265,2,1
9421,5876,3,0
9593,45004,1,1
9593,36051,2,0
9932,35561,1,0
9932,11759,2,0
9932,21573,3,0
9932,13535,4,0
9932,21769,5,0
9932,4913,6,0
10751,4149,1,1
10751,45108,2,1
10751,21137,3,1
10751,31912,4,1
10751,33000,5,1
10751,14256,6,0
11646,27730,1,1
11646,29987,2,1
11646,7175,3,1
11646,45646,4,1
11646,27243,5,0
11646,2651,6,1
11646,22935,7,1
11646,18918,8,0
11646,16185,9,0
11646,26373,10,0
11646,5746,11,0
11646,35108,12,0
11646,17956,13,0
12562,13176,1,1
12562,21128,2,1
12562,16521,3,1
12562,47309,4,0
12562,2509,5,0
12562,160,6,1
12562,283,7,0
12562,4920,8,0
12562,11712,9,1
12562,37076,10,0
12562,1556,11,1
12562,18479,12,0
12562,42654,13,0
12562,6541,14,0
12562,32134,15,1
12562,7948,16,0
12562,46847,17,0
12562,28156,18,0
13586,21463,1,0
13586,49235,2,1
13586,30169,3,1
13586,9076,4,1
13586,49683,5,0
13586,44628,6,0
13586,19048,7,0
13586,23537,8,0
13586,40516,9,0
13706,22974,1,1
13706,40354,2,1
13706,21326,3,1
13706,11422,4,1
13706,33846,5,1
13706,34321,6,0
13706,36431,7,0
13706,3990,8,1
13706,5819,9,0
13706,18168,10,0
13997,25588,1,1
13997,24852,2,1
13997,37646,3,1
13997,260,4,1
13997,49683,5,0
13997,10017,6,1
13997,42710,7,1
13997,20285,8,0
13997,16641,9,0
13997,27845,10,1
13997,35383,11,0
13997,42265,12,1
13997,21137,13,1
13997,27325,14,1
14963,10673,1,1
14963,24852,2,1
14963,22108,3,1
14963,15820,4,1
14963,7864,5,1
14963,25154,6,1
14963,42693,7,1
14963,47626,8,0
14963,33846,9,0
14963,21376,10,0
14963,1154,11,0
14963,47842,12,0
14963,25637,13,0
14971,5612,1,1
14971,39275,2,1
14971,28699,3,0
14971,30385,4,0
14971,16797,5,0
14971,22312,6,0
15462,19660,1,1
15477,7736,1,0
15477,9755,2,0
15477,13977,3,0
15477,1405,4,0
15477,7825,5,0
15477,12916,6,0
15477,32047,7,0
15477,31374,8,0
15477,46175,9,1
15477,5665,10,0
15477,37908,11,0
15477,18022,12,0
16847,21655,1,1
16847,19348,2,1
16847,46667,3,1
